"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Website\Real site\Trading Web\products\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\products\admin.py", "Python", 59, 0, 19, 24, 102
"c:\Website\Real site\Trading Web\products\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Website\Real site\Trading Web\products\migrations\0001_initial.py", "Python", 174, 0, 1, 6, 181
"c:\Website\Real site\Trading Web\products\migrations\0002_remove_product_view_count.py", "Python", 11, 0, 1, 5, 17
"c:\Website\Real site\Trading Web\products\migrations\0003_product_view_count.py", "Python", 19, 0, 1, 5, 25
"c:\Website\Real site\Trading Web\products\migrations\0004_alter_product_tags_alter_product_view_count.py", "Python", 32, 0, 1, 5, 38
"c:\Website\Real site\Trading Web\products\migrations\0005_alter_product_description_alter_product_name.py", "Python", 17, 0, 1, 5, 23
"c:\Website\Real site\Trading Web\products\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\products\models.py", "Python", 106, 0, 38, 37, 181
"c:\Website\Real site\Trading Web\products\templates\deprecated\product-detail.html", "HTML", 0, 12, 2, 4, 18
"c:\Website\Real site\Trading Web\products\templates\deprecated\product-index.html", "HTML", 0, 25, 2, 1, 28
"c:\Website\Real site\Trading Web\products\templates\deprecated\product-list.html", "HTML", 0, 12, 5, 2, 19
"c:\Website\Real site\Trading Web\products\templates\products\partial\card-product.html", "HTML", 0, 31, 0, 1, 32
"c:\Website\Real site\Trading Web\products\templates\products\partial\carousel-product.html", "HTML", 0, 53, 4, 2, 59
"c:\Website\Real site\Trading Web\products\templates\products\partial\deprecated\card-product copy.html", "HTML", 0, 155, 98, 34, 287
"c:\Website\Real site\Trading Web\products\templates\products\partial\deprecated\detail-main.html", "HTML", 0, 17, 0, 1, 18
"c:\Website\Real site\Trading Web\products\templates\products\partial\deprecated\list-main.html", "HTML", 0, 25, 0, 3, 28
"c:\Website\Real site\Trading Web\products\templates\products\partial\deprecated\main-index.html", "HTML", 0, 16, 0, 2, 18
"c:\Website\Real site\Trading Web\products\templates\products\partial\featured-section.html", "HTML", 0, 49, 0, 1, 50
"c:\Website\Real site\Trading Web\products\templates\products\partial\main-detail.html", "HTML", 0, 31, 0, 1, 32
"c:\Website\Real site\Trading Web\products\templates\products\partial\main-list.html", "HTML", 0, 10, 0, 1, 11
"c:\Website\Real site\Trading Web\products\templates\products\product-index.html", "HTML", 0, 13, 0, 1, 14
"c:\Website\Real site\Trading Web\products\templates\products\product.html", "HTML", 0, 16, 0, 1, 17
"c:\Website\Real site\Trading Web\products\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\products\urls.py", "Python", 7, 0, 3, 3, 13
"c:\Website\Real site\Trading Web\products\views.py", "Python", 91, 0, 54, 53, 198
"Total", "-", 521, 465, 231, 205, 1422
