"filename", "language", "CSS", "JavaScript", "HTML", "Python", "Database", "comment", "blank", "total"
"c:\Website\Real site\Trading Web\abstractapp\admin.py", "Python", 0, 0, 0, 14, 0, 1, 5, 20
"c:\Website\Real site\Trading Web\abstractapp\custom_context_processors.py", "Python", 0, 0, 0, 7, 0, 0, 3, 10
"c:\Website\Real site\Trading Web\abstractapp\manager.py", "Python", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Website\Real site\Trading Web\abstractapp\models.py", "Python", 0, 0, 0, 9, 0, 1, 7, 17
"c:\Website\Real site\Trading Web\blog\admin.py", "Python", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Website\Real site\Trading Web\blog\templates\blog\partial\card-blog.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Website\Real site\Trading Web\blog\templates\blog\partial\card-horizontal.html", "HTML", 0, 0, -8, 0, 0, 0, 1, -7
"c:\Website\Real site\Trading Web\blog\views.py", "Python", 0, 0, 0, 13, 0, 3, 1, 17
"c:\Website\Real site\Trading Web\db.sqlite3", "Database", 0, 0, 0, 0, 439, 0, 4, 443
"c:\Website\Real site\Trading Web\form_handlers\admin.py", "Python", 0, 0, 0, 1, 0, 2, -1, 2
"c:\Website\Real site\Trading Web\form_handlers\apps.py", "Python", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\form_handlers\migrations\0007_inquiry_custom_order_inquiry_is_active_and_more.py", "Python", 0, 0, 0, 37, 0, 1, 5, 43
"c:\Website\Real site\Trading Web\form_handlers\migrations\0008_remove_inquiry_custom_order_remove_inquiry_is_active_and_more.py", "Python", 0, 0, 0, 19, 0, 1, 5, 25
"c:\Website\Real site\Trading Web\form_handlers\models.py", "Python", 0, 0, 0, -1, 0, 2, 0, 1
"c:\Website\Real site\Trading Web\mysite\settings.py", "Python", 0, 0, 0, -2, 0, 3, 0, 1
"c:\Website\Real site\Trading Web\pages\admin.py", "Python", 0, 0, 0, 18, 0, 7, 12, 37
"c:\Website\Real site\Trading Web\pages\migrations\0014_cta_alter_homecarouselimage_image.py", "Python", 0, 0, 0, 42, 0, 1, 5, 48
"c:\Website\Real site\Trading Web\pages\migrations\0015_home_delete_cta.py", "Python", 0, 0, 0, 38, 0, 1, 5, 44
"c:\Website\Real site\Trading Web\pages\migrations\0016_banner_delete_home.py", "Python", 0, 0, 0, 38, 0, 1, 5, 44
"c:\Website\Real site\Trading Web\pages\models.py", "Python", 0, 0, 0, 2, 0, 1, 1, 4
"c:\Website\Real site\Trading Web\pages\templates\pages\index.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Website\Real site\Trading Web\pages\templates\pages\more\test.html", "HTML", 0, 0, -69, 0, 0, -4, -4, -77
"c:\Website\Real site\Trading Web\pages\templates\pages\partial\banner.html", "HTML", 0, 0, 4, 0, 0, 0, -4, 0
"c:\Website\Real site\Trading Web\pages\templates\pages\partial\carousel-hero.html", "HTML", 0, 0, -11, 0, 0, -2, 0, -13
"c:\Website\Real site\Trading Web\pages\views.py", "Python", 0, 0, 0, 20, 0, 0, 8, 28
"c:\Website\Real site\Trading Web\products\models.py", "Python", 0, 0, 0, -2, 0, 3, 0, 1
"c:\Website\Real site\Trading Web\products\templates\products\partial\card-product.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Website\Real site\Trading Web\products\templates\products\partial\carousel-product.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Website\Real site\Trading Web\products\templates\products\partial\featured-section.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 17
"c:\Website\Real site\Trading Web\products\templates\products\partial\main-detail.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 22
"c:\Website\Real site\Trading Web\products\templates\products\product.html", "HTML", 0, 0, -2, 0, 0, 0, 0, -2
"c:\Website\Real site\Trading Web\products\views.py", "Python", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Website\Real site\Trading Web\static\css\style.css", "CSS", 31, 0, 0, 0, 0, 2, 3, 36
"c:\Website\Real site\Trading Web\static\js\alpine\2.8.2\alpine.min.js", "JavaScript", 0, 1, 0, 0, 0, 7, 0, 8
"c:\Website\Real site\Trading Web\static\js\flowbite\1.8.1\flowbite.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\static\js\htmx\1.9.6\htmx.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\static\js\hyperscript\0.9.12\hyperscript.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\static\js\script.js", "JavaScript", 0, 21, 0, 0, 0, 27, 16, 64
"c:\Website\Real site\Trading Web\templates\base.html", "HTML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Website\Real site\Trading Web\templates\partial\nav-list.html", "HTML", 0, 0, 54, 0, 0, 0, 0, 54
"c:\Website\Real site\Trading Web\templates\partial\pagination.html", "HTML", 0, 0, 25, 0, 0, 0, 0, 25
"c:\Website\Real site\Trading Web\templates\partial\sidebar.html", "HTML", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Website\Real site\Trading Web\templates\snippet\breadcrumbs.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Website\Real site\Trading Web\templates\snippet\pagination-prev-next.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Website\Real site\Trading Web\theme\static_src\src\styles.css", "CSS", 0, 0, 0, 0, 0, 4, 2, 6
"Total", "-", 31, 25, 66, 274, 439, 62, 86, 983
